total_rooms,population,households,median_house_value
1297,765,240,93600
653,407,146,110800
1750,1012,315,99300
1529,793,281,91300
5927,3369,1176,111300
2069,889,299,212000
4064,1847,859,135500
2558,1149,403,190500
410,706,112,125000
5301,2335,831,164000
2144,899,378,158800
4145,1872,680,220600
2544,1199,412,196300
3888,1830,844,158600
1475,943,363,55300
2267,1140,369,212800
3676,1572,510,201900
1467,688,231,191900
1106,505,187,192300
1931,1271,377,156100
4239,1729,794,167700
1710,839,297,150700
1931,1009,407,153200
2289,1182,397,166800
3403,1540,622,162900
4059,1874,693,174300
4786,2066,770,185400
170,93,27,312500
2691,964,373,142700
1819,736,283,128900
4126,723,266,118800
868,44,21,175000
10098,701,254,141300
8259,845,353,244000
2069,909,374,139100
4570,2125,815,148000
3758,1744,661,151500
2220,912,449,87800
2023,922,365,83500
1511,791,320,70900
2679,1424,529,81900
1349,601,203,96600
1666,816,316,118800
383,202,72,102500
1017,387,152,88200
1291,582,242,102000
3763,717,348,130500
1955,294,122,126500
1116,27,39,83000
2534,638,244,88800
1234,543,201,71900
513,204,86,100000
2149,965,419,55900
3406,1567,617,75900
1262,510,209,92800
785,366,140,82500
1334,597,222,89200
1629,641,274,69600
3127,1345,580,58000
725,219,115,75000
897,276,110,89400
958,28,16,67500
1597,632,262,93600
3229,1501,582,77100
1572,247,104,193800
919,69,43,137500
1127,215,85,143800
1717,501,206,113400
1944,384,172,111500
5156,616,281,145200
1214,723,236,87800
1178,804,283,92900
730,476,142,88900
1248,770,250,90600
4592,2769,838,105100
1386,703,185,124200
2881,1470,515,123800
1797,905,313,141700
2274,1167,504,101600
2337,948,437,169100
950,383,182,125000
2862,1878,675,96700
1157,2027,253,155000
642,462,186,162500
1342,844,484,95800
917,666,220,114200
1680,1570,435,82300
3676,2653,682,92400
1156,877,200,79900
1166,976,244,84800
201,130,24,125000
131,89,31,112500
4163,3928,1076,85900
3960,2807,838,122500
1625,1212,327,82200
2070,1851,467,80700
3974,1398,528,216600
2396,951,314,235200
1650,557,211,204800
9286,3565,1238,219600
9376,3570,1107,315200
3307,1269,529,136200
2953,1406,580,150000
1992,948,358,129300
1806,709,298,125500
1915,1060,376,117900
1383,649,232,148900
1707,660,269,134800
2837,1393,595,118800
4481,2398,823,123400
2316,956,389,157800
124,50,18,112500
3747,2399,646,116500
914,556,161,115300
2189,866,389,111500
1979,954,444,117300
1586,675,305,132100
1462,849,287,123900
4251,2494,798,110800
2275,1691,459,98100
2341,1272,415,112700
3153,1544,575,133800
1380,598,262,122900
1599,721,287,120700
633,292,135,121400
2527,1344,451,114400
2215,771,311,142600
1682,706,291,140100
2468,1164,385,136800
3014,1832,485,127900
3306,1742,673,109100
1198,1019,214,82700
1468,1168,261,81300
793,669,128,89300
987,551,191,112000
943,466,203,116000
2074,911,420,117600
3181,1603,706,112500
2885,1509,590,125600
4179,2096,1013,118500
2420,1383,469,113500
1764,1094,353,113900
2284,1425,405,104500
2386,1176,374,113300
4836,3012,1240,129300
1273,686,254,109400
1577,880,284,116000
3539,1987,859,103700
2349,1479,425,114100
2992,1521,507,126900
1814,903,306,118700
1371,715,227,129900
5998,3185,1199,113900
2433,1466,517,110800
2320,1358,415,121400
2552,1840,551,113300
2886,2327,577,113700
1263,508,180,314100
4487,2609,778,148700
14281,7540,2245,138000
80,55,13,193800
1858,1311,331,87800
1231,841,199,92000
3084,1753,449,97800
5455,3015,858,162800
2316,1829,532,86800
1192,1013,283,76200
2228,1697,530,83400
2634,1376,406,152200
10072,5913,1909,119500
3042,1720,551,95200
2101,1150,377,98300
2372,1647,612,88600
1617,1153,385,96600
3307,1738,457,116900
9966,5008,1492,171300
1929,1237,316,128500
2050,1153,336,116400
2451,1785,456,115000
2727,1691,448,160600
2394,1291,381,138700
12106,5810,1717,158100
2000,1361,388,121100
2051,1466,425,108200
3736,2021,640,142400
7779,3996,1765,135300
6751,3266,1134,145500
3791,2258,672,124700
13562,7600,2086,182900
1293,774,217,141000
1430,872,283,141000
352,184,57,137500
256,101,28,375000
2925,1921,501,153100
3583,1587,719,75000
5675,2834,865,203200
5398,2672,864,163900
266,136,40,164300
575,318,88,257100
1240,519,146,271900
3196,1581,462,229400
10223,5205,1509,203400
3797,2369,720,137600
693,365,176,191700
2999,1396,458,164800
17978,7305,2463,220800
1864,1006,288,251000
5187,2725,860,154300
2807,1653,509,163300
1839,871,307,198800
2290,728,228,233500
4157,2036,594,246400
2620,1324,362,214600
338,200,46,244200
4741,2903,796,135600
5364,3754,936,139100
2529,1504,426,115600
2101,1061,348,146800
9016,4285,1457,169100
1565,1142,328,99600
6248,3795,1128,124600
7923,4861,1385,139200
932,711,172,143400
2481,2411,552,85800
559,532,137,88500
1891,1693,416,112900
1625,1046,320,117300
2787,1684,467,127100
4112,2821,857,114700
4780,3043,766,132800
713,476,142,121100
919,724,235,110500
2086,1501,395,105600
1566,1056,279,105400
2191,1564,450,122000
3869,2500,726,126100
2970,2156,558,124600
3491,1920,669,127300
9738,4936,1840,144800
10395,6295,1855,149900
10235,5271,2094,159100
3611,1869,649,141100
2589,1109,360,334100
5418,2690,1088,158000
3044,2541,564,123800
722,770,165,102500
2855,2453,624,91000
6755,2866,850,239800
838,722,180,96200
1731,1269,351,107900
2472,2143,610,108800
2076,1374,480,138200
1196,1052,258,113000
1755,1453,428,119400
679,769,179,110600
765,590,177,113500
3586,2695,877,117000
3239,2751,813,107000
1739,1235,420,116100
621,443,135,122800
1786,939,278,165000
2772,1685,461,163900
701,356,125,144300
1511,773,265,142100
8207,3887,1304,195300
895,346,115,339300
16431,8222,2553,195100
202,75,28,216700
502,228,65,500001
6538,2928,892,221400
6964,3240,1036,177100
8136,4976,1516,137100
8010,3920,1309,204800
6450,3716,1113,150300
2949,1671,477,161000
7626,3823,1415,138100
17470,5964,1985,257900
688,575,144,111000
2397,1347,403,189800
2191,1156,310,195600
5846,3258,1001,160800
3776,1877,559,215000
2857,1361,382,189800
12837,4636,1453,187800
2678,1225,367,211300
3964,1707,549,267900
5600,2573,788,240500
1171,659,216,110000
2300,1001,311,161300
3991,2317,657,127900
3498,2372,672,118000
4770,1985,662,295200
1954,973,321,249100
7538,3450,1077,223600
1159,523,159,123200
826,440,134,173900
6982,5650,1195,152700
6437,2805,1205,184500
3216,1363,629,144500
4589,1660,595,236500
7910,3382,1176,214500
11232,4218,1644,216500
1417,881,300,162500
152,1275,20,162500
321,214,67,101600
17286,9851,4616,103400
5464,2400,836,133500
3420,1502,656,140300
18767,8805,2723,160600
3707,1938,658,95300
2683,2047,636,85400
3021,1580,533,129900
6617,3710,1087,132600
13195,6763,2437,142000
13096,6780,2180,138700
9179,4573,1294,163300
8403,3962,1150,155500
4873,1947,568,223200
18356,8437,2342,197700
972,773,219,135700
3623,2721,766,86900
8443,4885,1470,127200
337,115,49,164800
1569,1123,369,113900
7105,4520,1333,113200
10110,5804,1703,137600
9812,5595,1729,124600
11654,7596,2127,127200
11775,6686,1911,136600
2405,1594,517,114200
5104,3513,972,117000
16884,9509,2688,130900
10002,5439,1397,152600
3236,1610,502,143500
8302,5155,1370,121500
1611,275,84,244400
21060,9623,2812,143000
56,39,14,500001
1031,606,179,136300
77,64,15,187500
1265,621,173,161300
1424,681,192,100000
4198,1943,673,122100
9911,5145,1661,113700
8476,2711,1427,97900
5528,1674,918,110100
5373,1573,933,98600
4210,1283,829,83300
6323,1984,1124,92400
5783,1990,1151,83500
6484,3295,1074,136400
26322,9360,3361,228900
5156,2294,747,113400
3659,1476,515,125900
1869,1007,323,117200
7401,2826,839,177300
939,557,190,145800
2715,1540,464,139600
1914,930,304,161200
1771,935,279,148200
1697,808,354,169300
4174,1845,780,96100
4934,2508,840,155400
1810,931,355,109200
2813,1345,488,145300
4496,2044,695,148800
5284,2703,729,126500
1974,1276,408,90500
4928,2132,853,112500
4799,1966,944,71300
6305,2489,1152,111500
2381,1323,477,140700
3318,2016,673,89300
3465,2672,607,81500
2108,1666,461,83000
4173,2393,713,118300
3196,1757,552,173300
4249,2405,846,146500
6907,3665,1290,104200
3173,2204,606,129200
2876,1859,545,101300
2248,1207,368,110000
1161,640,210,114600
6529,3464,1006,168700
4345,2425,785,123800
2591,1255,425,154300
981,596,156,157400
1229,581,190,111300
4376,2667,870,100600
516,282,96,125000
13288,7235,2350,131800
10145,4776,1749,132600
6859,3405,1351,109200
16010,7139,2426,162200
4573,2513,832,163600
446,188,68,465600
4097,2082,731,159300
1652,725,233,155600
1481,757,243,210700
7722,2975,1161,150900
30450,9419,3197,174300
2744,1223,366,215300
2569,1232,388,145600
20391,7132,2716,187300
4952,2912,943,147500
3471,1541,502,347700
2802,1155,421,392100
1868,750,247,307600
1972,964,317,337200
1003,388,140,221900
1585,510,181,493300
108,43,17,187500
270,120,42,500001
21988,8824,3252,191100
30401,13251,4339,212300
9089,3886,1243,174200
1614,846,270,43000
13724,5860,1986,183000
6112,2088,712,429000
966,311,92,500001
8278,3062,1446,134700
6807,2703,1055,189700
2094,937,277,201300
1183,543,147,173900
652,248,97,93800
397,239,80,143800
16148,6159,3232,97800
2281,894,430,127900
2238,1190,507,85800
4676,2770,1057,109500
6027,3136,1036,121500
3757,1693,654,112800
2233,1024,399,89400
4735,2306,904,87000
4587,2233,765,94500
1996,1270,400,91200
2901,1414,475,118900
5160,2344,781,120000
3603,1644,515,132300
3269,2328,705,76300
2712,1519,629,86200
3740,2011,824,77500
9601,4002,2106,77000
4952,1589,1024,85700
3674,1498,758,76900
3649,1717,696,87600
7240,2708,1240,137600
2873,1094,659,105100
6890,3141,1451,95900
5829,2711,1118,107900
7626,2823,1554,69400
5330,2143,1107,94400
3700,1171,695,112500
10352,3559,1689,113100
1317,453,158,120700
2228,653,350,139300
6317,2625,1094,108900
10997,5060,1949,95300
2399,1726,542,77700
2990,2108,660,83000
2680,1728,527,74800
3409,1939,739,74000
701,434,110,56700
4116,1714,717,130800
3111,1000,508,140000
2719,930,485,81700
10886,4266,1955,123400
2604,978,417,170700
3750,1594,785,104900
1575,879,282,94400
4624,2174,812,132100
4227,1849,619,195900
4775,1868,836,118800
5320,1947,843,116300
5876,2992,1151,112100
1254,715,301,149000
1822,798,313,105200
78,27,10,187500
1999,1304,479,81900
503,293,59,147500
658,376,120,58000
319,212,67,90000
2307,1266,437,63000
2009,820,381,81800
6900,1950,980,146300
6,8,2,55000
521,174,74,91100
3459,1760,654,89800
2277,1391,453,73200
3197,1722,603,91200
2793,1583,626,73200
376,267,88,68300
3915,1820,643,98600
7804,3297,1469,95600
4549,2494,912,72600
1495,865,342,55000
3183,1820,647,71800
553,215,82,193800
4448,2736,843,73400
3141,2589,721,54600
1858,1632,310,73100
2653,1967,598,81000
5277,657,276,143400
324,158,39,100000
10665,1874,852,150500
3460,658,255,161100
2385,682,242,214300
830,272,104,163500
1016,443,169,137500
1153,446,195,128100
3166,1250,475,122900
1294,457,199,115300
489,183,74,345500
1251,544,216,173400
186,102,39,103100
3730,1346,592,113500
1187,442,179,155700
11115,4122,1653,74400
549,209,90,66300
1284,537,233,61000
321,157,61,68100
551,224,107,50000
260,69,50,76600
5293,1201,599,88400
12557,2453,1232,78500
3921,1902,665,89600
4913,2518,1132,61100
2990,1280,532,68200
7249,4274,1621,66600
3369,1315,584,66000
1381,644,248,89400
2233,919,388,85200
3254,923,486,81000
4332,1420,567,146400
980,454,185,100000
1540,610,268,71000
4465,853,445,130400
3648,1687,581,70400
7962,2009,921,230200
10077,3048,1337,110900
2992,676,346,500001
8399,3470,1340,159000
7559,3189,1105,112500
343,29,14,87500
3316,2362,532,65900
10227,3623,1734,145200
9482,2725,1300,115600
1765,451,264,321900
3004,437,210,90000
5032,3086,1183,94800
12396,2548,1265,162200
6814,2628,1341,124100
6087,1721,833,199400
8789,1274,688,148900
6050,1432,890,183900
2616,581,343,301600
4810,1304,740,248100
9374,1678,919,235600
2547,411,214,220500
4423,1906,667,125200
5480,1050,485,137500
9425,1711,1000,145200
9169,3838,1270,142500
4863,3010,828,104200
10105,6274,2095,90900
6960,1130,661,136400
6710,2069,781,115100
7095,1179,570,285000
4293,1091,464,232100
5228,1177,639,134600
16921,2524,1262,341700
3059,612,208,259200
5534,2283,1008,99100
24121,4176,2221,239300
17579,3581,1820,194500
19107,2880,1376,158500
12467,4086,1761,131900
1137,604,240,55000
2565,2301,638,83000
4300,1557,669,122500
1781,759,340,113600
11836,3811,1570,134500
8626,3497,1337,121300
7646,2496,1075,128000
12509,2737,1423,258100
11659,2186,1083,238800
6190,2242,1043,152300
4872,955,656,97500
2596,473,237,500001
846,117,67,403300
2475,910,387,168800
4289,958,440,177800
3895,900,529,138300
8806,858,448,318100
12327,2450,1139,353100
5048,883,391,231300
2387,863,304,137500
2214,1152,350,93400
4686,2466,731,91800
4497,2248,713,98000
3079,1572,474,102600
9404,3208,1283,105800
1664,907,374,92900
3861,825,401,124700
1961,966,275,96700
12991,4571,1926,199300
3584,1097,470,167400
880,507,169,67500
278,375,81,50000
5236,2725,935,93400
9033,5525,1845,95000
2774,1530,505,104100
4120,2918,815,69400
894,830,202,68200
2488,2891,676,68900
1695,1279,305,68500
1133,918,239,72100
3114,3157,772,82200
826,979,245,58800
2399,2654,535,60600
4981,3779,1186,76900
4874,5032,1243,90000
197,331,70,112500
1273,1548,355,84700
1711,1896,443,65400
1152,1077,235,96300
1596,1201,282,100900
584,625,166,100000
926,238,118,366700
7437,574,302,382400
1713,1978,442,58600
2421,2971,685,100000
2985,4042,905,66400
1660,637,250,68900
1230,1334,260,61400
3585,3873,788,65900
639,664,153,47500
1859,1994,477,67500
2888,2940,660,66700
89,79,21,155000
5692,5682,1273,74000
381,182,75,76100
1706,3424,283,53500
97,29,15,27500
1161,724,186,71700
644,137,52,71300
2809,83,45,87500
1678,666,256,94900
1491,1135,303,44400
720,333,117,85700
1501,515,226,73400
1454,624,262,65500
173,117,34,45000
4789,3134,1056,58400
1187,1115,242,61500
3741,2434,824,86500
1387,671,239,74000
18,5,3,275000
2907,1841,633,82400
1988,1182,437,62000
5298,1933,918,155700
2507,888,448,163700
1878,710,342,161400
1806,764,341,147100
2443,939,457,142000
3080,975,495,164500
2334,892,446,148800
2314,796,388,153900
1962,704,362,147900
4408,1604,777,181600
1394,689,353,109800
2092,878,528,115100
3807,1484,850,137500
2035,904,459,109300
576,273,127,94300
2434,1281,662,140600
2151,1146,603,90300
1186,1038,320,70500
463,486,190,85000
1000,456,250,168800
761,2031,295,162500
4018,1570,1122,125000
745,297,160,77500
569,509,367,137500
1823,761,503,137500
2438,1148,747,141700
567,272,187,187500
1334,634,421,93800
2410,1091,829,87900
1360,589,338,150000
3136,1443,877,123900
2809,1243,785,114100
438,176,99,200000
3233,1223,837,168100
2501,1081,708,157500
2006,825,384,236100
3170,1027,457,233800
1750,764,369,111800
810,326,151,140000
893,367,160,213200
1917,722,358,158900
1625,614,383,156700
1105,443,210,131700
2423,873,438,131900
906,257,166,139400
1533,532,257,125900
1316,452,245,137800
3994,1295,625,232500
3420,1301,530,173800
182,115,43,98900
3514,1509,656,100100
3374,1412,753,77600
1878,722,381,122800
1250,452,232,121200
1698,726,386,97000
889,273,145,85600
907,479,177,104000
3126,1789,558,84100
2094,1364,407,68500
1091,926,336,65400
1532,782,369,85900
2083,874,524,95800
1986,1044,490,88100
1151,518,258,113600
1476,688,353,134700
1145,596,288,114300
900,506,231,87500
1521,987,455,86900
1492,736,365,108800
1124,807,316,94600
1375,766,321,87500
613,425,147,93800
858,510,200,80000
2646,1684,616,123100
1048,1320,294,137500
3032,1341,597,137900
1485,531,291,137200
1844,667,353,103500
2515,836,442,151100
2784,957,448,209800
1777,624,350,137800
2313,779,442,123000
1145,334,138,405800
4280,1486,621,224100
4094,1363,659,236800
1167,452,209,179800
2508,832,345,228700
2037,811,375,162500
1587,877,380,94300
1684,675,296,175000
2216,714,327,191900
814,327,181,125000
968,706,274,65400
1303,861,263,55800
2085,1346,402,56700
979,546,291,67000
1384,561,244,94600
1159,810,244,56000
1278,839,280,58300
1001,605,175,58200
2077,1454,385,57000
1407,556,235,108000
2084,912,410,92700
1879,791,345,101500
2570,1145,503,92400
3421,1441,727,86600
2525,1726,468,87600
2358,1071,470,94300
3321,1346,658,101300
2855,1217,562,93600
2518,1308,471,75700
2061,1110,342,79000
1058,588,231,72100
1958,1171,366,71200
1581,832,291,71800
1488,846,279,82700
2430,1199,437,81900
1951,1089,411,80600
3087,2529,708,66800
3249,2611,663,87800
2828,1655,485,72600
2089,955,385,72100
3657,2925,899,78300
2080,995,380,76600
3184,1188,572,192000
3642,1508,657,114300
1613,631,266,191900
2603,966,419,216600
2008,1261,427,59100
2918,1085,427,171300
1595,542,236,251600
3236,1167,569,181400
1451,786,340,101600
2966,1225,505,130600
1655,841,355,78400
1378,708,280,103900
1824,906,356,96400
1902,955,384,96800
1468,571,271,124200
3364,1841,626,73500
1704,902,356,62300
2099,1845,483,52500
3215,2400,625,54400
543,506,125,65400
700,260,128,152900
2364,1331,449,84500
1715,842,263,87900
2049,787,309,98500
3166,1857,579,79500
2815,1075,471,164800
3089,1366,561,160300
3377,1289,594,171200
6876,2942,1386,156900
4426,1856,761,158300
4719,1857,739,180200
5490,2415,837,216800
4868,2036,750,204600
6093,2415,997,183600
8482,3362,1513,217900
3087,1365,495,216800
6132,2595,1174,178900
4900,2519,855,184400
27870,11935,4855,212200
3344,1341,670,152800
9104,3759,1481,174500
2561,1583,530,95800
979,723,205,72300
2679,1740,659,70300
1557,986,300,77700
3606,2317,696,78200
4013,2032,675,83400
3165,2447,752,78600
4629,2902,816,74600
3595,2760,770,78800
2969,1745,487,76200
6121,4224,1105,68000
2359,2048,476,67300
1865,1052,354,60500
1746,1142,315,69900
1893,884,395,75400
1717,848,306,87000
1453,843,281,63900
2745,1607,556,65400
1825,1226,391,55700
2177,1971,560,66800
2123,1576,599,110000
3033,1559,627,99500
1895,620,417,137500
20,74,9,80000
2316,1597,522,60400
3446,2460,847,69700
4221,2294,850,75900
1705,827,326,71200
1477,888,312,70300
3873,2237,706,72100
2437,1596,557,84100
1279,963,268,65600
7212,4828,1549,82400
2527,1089,415,96800
2033,1281,521,97500
7901,4769,1418,90400
7740,4333,1397,87900
10211,5656,1752,107900
3573,1540,620,109800
4297,2083,771,109300
2780,1638,533,103100
4602,2299,860,90500
4929,2621,870,109800
1766,1028,372,98700
3593,1710,530,93100
13180,7235,2335,103000
7880,4749,1882,116000
7290,3960,1248,106300
8537,4224,1648,108900
1808,758,320,92000
2066,2548,734,55000
8507,3517,1453,137400
2790,1407,460,133700
1532,781,285,130900
2171,1053,422,126200
1734,783,447,154300
2697,1088,389,142500
2534,1495,583,156300
2497,748,442,142400
152,65,35,67500
987,1253,237,82100
88,119,19,67500
2987,1240,755,137500
7228,2455,1365,179500
4899,1701,826,387000
2648,863,359,338700
2022,639,278,297600
4429,1538,960,190700
2623,838,368,327800
3713,2194,1018,89600
1166,574,190,102800
1327,613,230,111400
2289,1100,503,95700
172,149,55,55000
3099,1322,623,105500
5407,2523,1265,104200
5527,2883,1305,114500
12355,5692,3073,99100
6955,2803,1740,141400
2396,1225,515,136600
5773,2607,1250,118800
1994,782,355,136400
1239,764,222,103000
2091,1053,470,108100
1151,563,251,113600
2228,1130,481,124600
2614,1181,616,156800
2253,1018,426,98700
2019,878,356,93400
2577,913,339,448300
3137,1312,549,136800
1119,414,150,283300
1249,362,143,446400
2888,1168,479,148600
2523,927,398,207800
2839,1006,400,280400
2968,1176,454,191700
1839,685,276,189400
2388,838,356,194100
3900,1549,761,115700
4314,1662,575,170100
1930,805,338,133000
1275,530,245,133600
2355,993,354,144100
1285,460,206,265700
3303,1185,436,225700
3196,978,419,344000
2992,1105,368,320200
1631,599,228,267200
2912,1132,410,225900
3273,1151,463,380000
6540,2667,1031,175200
6119,2631,934,146400
4175,2032,830,164000
4916,2140,1136,134100
2191,951,362,159500
2447,1077,456,133000
2619,940,359,164500
322,133,59,139300
4563,2256,926,143400
3658,1452,715,120700
494,253,99,141100
5996,2532,1049,151800
1743,697,368,166100
2352,1127,592,116500
774,356,150,115300
1077,447,182,115600
945,460,193,127100
823,329,144,114100
2375,863,452,126900
2930,1661,668,118900
1226,359,167,150400
2024,786,364,156900
5693,2334,1387,170500
2696,1059,582,160900
3626,1577,806,130400
1540,1079,444,98700
3671,1733,820,113200
3512,1515,782,118800
3260,1735,736,97500
3171,1591,695,88600
1126,589,243,84400
1134,675,249,65200
1087,462,219,64900
1385,740,274,78000
1009,604,218,67000
2217,1203,507,73100
1765,1008,382,73000
1404,765,330,63300
1578,897,333,66800
1384,682,280,64400
1720,1069,362,60500
1728,1042,349,58500
2274,1157,445,49800
909,661,176,77400
2010,1501,422,65900
1756,837,320,70500
1678,971,307,62100
1219,559,212,122200
1673,1116,382,62200
1077,753,236,55900
1402,970,382,71000
1607,972,354,64700
3009,1513,588,61000
2680,1885,498,110000
3746,2161,744,103400
3167,1787,533,92600
1481,1079,315,60600
1517,1287,328,67000
3185,2444,626,67600
1246,884,258,51700
1534,1147,322,59800
2419,1696,503,63100
2436,1509,618,81400
705,464,159,60900
3326,2511,649,60900
1591,1000,418,70100
2324,823,375,158900
1758,1094,484,70000
1111,613,290,66300
1978,823,490,135600
438,263,100,67500
2197,1374,483,69300
1072,781,281,65800
1372,850,328,67500
1269,494,231,331300
8149,2933,1616,178800
12197,5634,2329,129300
16679,7919,3329,134500
1395,638,322,225000
693,276,151,117000
15309,7463,2885,129700
4391,1982,914,105300
7709,4147,1262,96600
1511,1062,304,89400
800,450,158,108600
541,229,98,383300
3054,1932,510,91900
1287,727,236,135500
1708,911,290,99800
2336,1172,408,101200
2562,1478,433,96200
2159,1141,355,90400
965,568,188,93900
927,542,148,96200
2476,1355,463,94400
2118,1019,338,112200
1601,848,305,105200
3124,1512,555,94900
2962,1542,521,89200
1299,705,245,103000
946,474,173,97300
3335,1963,622,96800
1007,563,185,91300
1814,1076,372,81100
3438,1602,554,120500
880,1148,148,112500
2103,1124,387,87000
1086,663,190,84200
1643,831,305,84200
1775,937,305,83400
1851,1007,286,84000
2943,1460,510,84400
300,154,51,108300
1093,590,190,80200
3757,2022,611,88200
1620,939,277,72900
1565,861,277,77000
67,50,32,93800
1354,771,267,78800
1786,974,319,72700
2176,1067,357,78400
1001,597,226,73400
562,240,106,112500
3938,1861,606,95000
3919,2203,783,89500
2897,1508,478,88400
2230,1155,377,88200
2686,1553,529,112700
1968,996,331,114300
7085,3455,1229,120000
7923,3789,1473,98600
21897,8652,2873,151300
4842,2857,907,133000
4680,2626,729,107000
6850,4251,1421,93300
14414,7608,2832,129600
2770,1471,624,82500
5819,3237,1356,116600
3184,1929,769,86000
2878,1362,541,96500
4866,2371,1030,103300
3778,2393,862,100500
825,355,130,109500
1503,652,229,99300
3379,1543,556,124000
1503,731,285,118500
643,331,134,120700
3154,1837,793,92900
3322,1694,774,130700
1149,583,243,137500
4164,2032,898,133100
3313,1631,681,105700
756,424,155,116100
1672,757,282,159700
2498,1185,506,107900
4371,1842,818,105500
2446,1132,513,198500
1595,610,253,199000
3533,1496,723,183200
2772,1335,565,161000
2203,1158,492,119500
2761,1128,482,139700
3033,1363,519,161700
1947,866,400,156800
1853,772,397,135800
4021,1658,730,153000
1778,875,375,142200
1716,722,415,166100
2453,1326,505,148000
5801,2586,1063,162100
4260,1635,640,288200
2868,1284,487,213000
1817,992,339,150000
7003,3107,1315,150500
3114,1121,456,240000
2430,1087,394,177900
898,470,201,148300
3902,1870,763,190200
992,316,159,326700
5001,2330,830,160000
5407,1927,804,195400
8501,3576,1467,158500
1713,761,295,136400
1604,751,267,140500
1149,500,194,163400
1276,501,205,143600
2628,1210,453,157700
2759,1053,374,165700
3824,1818,600,139000
3391,1546,553,139200
3192,1132,418,144300
1665,846,306,121600
6940,2829,990,232300
3443,1413,505,196000
4491,1657,667,249400
2926,1349,480,212900
3243,1334,515,169500
3335,1329,429,250300
7741,3153,1331,216100
3670,1616,550,169600
3170,1344,452,221600
1891,678,255,188700
2642,1032,475,189800
2764,902,360,258700
2655,991,384,270600
2787,1247,522,159800
1597,657,273,213500
1098,415,160,217400
1984,842,276,173300
2744,1340,452,147300
3459,1336,544,186200
120,30,14,350000
3574,1373,643,242100
4053,2033,897,117100
5827,2578,1038,112900
3095,1550,576,113500
5828,2868,1037,143200
11442,6068,2435,121200
7334,3339,1271,124700
6575,3358,1098,115400
13796,6000,2250,124500
5826,2244,1219,142900
5434,2755,1047,99900
1875,1027,343,103800
2514,1166,503,131900
2306,1308,418,122200
4594,2474,782,127500
3998,2071,660,102000
3214,1879,562,124900
2966,1365,480,118400
3592,1740,629,126000
2226,1004,417,117800
3137,1635,544,122700
1252,587,217,146400
3908,1898,798,130600
3455,1605,704,91600
1387,807,244,135700
2683,1410,659,130200
2767,1275,568,125400
1998,970,343,115500
2532,1396,467,114500
5098,2029,1065,132500
2135,779,432,134900
5179,2181,1151,82500
1194,545,223,134300
4018,2070,814,119800
2655,1253,454,140600
1234,649,211,143000
2915,1292,454,117100
2145,1022,349,125400
3747,1817,590,145300
3389,1674,568,145600
3080,1195,683,133000
3243,1585,480,166800
3262,1794,543,144400
3917,1809,564,137000
3050,1490,489,134500
1014,606,194,112800
1402,676,236,135500
1497,730,242,135600
4256,1948,622,167400
503,267,77,276100
6155,2407,941,244300
1830,905,361,141800
3185,1550,802,149000
1145,447,216,124300
2116,866,519,111600
1701,723,352,128700
3467,1478,601,147300
1727,833,258,160000
1087,430,174,158800
1881,921,360,144000
1992,889,346,130500
6838,3166,926,162700
4082,1912,652,142900
3713,1845,635,143400
7812,3275,1178,146600
7138,2623,1139,243200
4415,1520,627,390800
7104,2772,920,274500
2970,1379,463,131700
3077,1603,595,137500
6262,2954,1169,139000
1843,818,276,214700
4947,2227,675,170500
5268,2357,849,148700
5266,2432,948,133000
3558,1742,581,131700
2200,938,369,143800
5500,2827,946,145800
1412,700,227,130700
2987,1610,605,112100
1754,773,277,147000
1546,773,299,115400
3875,1632,593,171000
1937,769,274,179200
1605,732,241,204800
240,6675,29,225000
3084,1040,562,293300
1252,686,256,121900
2101,945,426,116000
6198,2827,1179,159000
9798,4583,1494,189600
3517,1687,655,131600
12360,4438,1470,222500
530,398,96,212500
6873,2354,931,263100
2574,1041,428,203400
11021,3857,1494,273200
394,155,83,55000
7088,4885,1272,112500
3295,1454,536,101900
9774,4674,1712,136100
4378,2149,812,123700
13553,6544,2359,132700
2707,1423,490,116900
9534,4951,1710,103400
2321,1066,497,95600
2938,1501,561,96100
2547,1235,469,103300
1814,963,317,110500
6663,2840,1299,115600
1122,564,213,111600
1671,848,351,112500
1276,600,223,109100
3369,1733,470,127500
3608,1694,666,109400
692,504,167,101100
1169,614,192,108700
4715,2420,1059,104400
224,95,41,165000
2653,1419,579,91300
1537,1125,375,90700
2421,962,497,112500
2748,1663,565,113300
1229,733,250,101600
1621,706,338,150000
4188,2081,995,92500
2460,1346,480,95600
3002,1660,613,89600
2748,1619,525,92400
2975,1440,593,118600
2838,1701,504,114000
16239,8656,3234,116300
6308,3012,1112,113500
3895,1762,855,135800
2129,815,347,118000
1793,653,235,129500
2629,1265,485,140200
1605,748,262,134100
5737,2731,983,134500
4481,2211,775,123300
2607,1216,407,126900
1191,554,191,118800
2278,1203,371,132400
6225,3064,947,138000
2713,1287,440,125500
1232,667,288,32500
1827,852,450,52500
822,457,133,157500
2337,1054,352,157700
20982,10329,3086,130600
14418,6578,2140,145900
2696,990,316,237600
2780,1320,404,209900
6992,2816,984,144400
3205,1439,456,240900
4401,1970,639,247500
3254,1168,345,188400
3727,1741,646,125700
2643,1755,541,91200
6091,2916,886,150400
3425,1538,587,138700
4155,1722,616,154400
1883,893,256,143500
2322,1373,424,94400
4813,2333,843,144400
